Glyph Name, Unicode, Character, Description, Glyph Set, Optional,Exclude
hungarumlautcmb,779,̋,COMBINING DOUBLE ACUTE ACCENT,GF-latin-plus,FALSE,FALSE
caroncmb,780,̌,COMBINING CARON,GF-latin-plus,FALSE,FALSE
gravedoublecmb,783,̏,COMBINING DOUBLE GRAVE ACCENT,GF-latin-plus,FALSE,FALSE
invertedbrevecmb,785,̑,COMBINING INVERTED BREVE,GF-latin-plus,FALSE,FALSE
commaturnedabovecmb,786,̒,COMBINING TURNED COMMA ABOVE,GF-latin-plus,FALSE,FALSE
horncmb,795,̛,COMBINING HORN,GF-latin-plus,FALSE,FALSE
dotbelowcmbcmb,803,̣,COMBINING DOT BELOW,GF-latin-plus,FALSE,FALSE
dieresisbelowcmb,804,̤,COMBINING DIAERESIS BELOW,GF-latin-plus,FALSE,FALSE
commaaccentbelowcmb,806,̦,COMBINING COMMA BELOW,GF-latin-plus,FALSE,FALSE
cedillacmb,807,̧,COMBINING CEDILLA,GF-latin-plus,FALSE,FALSE
ogonekcmb,808,̨,COMBINING OGONEK,GF-latin-plus,FALSE,FALSE
belowbrevecmb,814,̮,COMBINING BREVE BELOW,GF-latin-plus,FALSE,FALSE
macronbelowcmb,817,̱,COMBINING MACRON BELOW,GF-latin-plus,FALSE,FALSE
overlaystrokeshortcmb,821,̵,COMBINING SHORT STROKE OVERLAY,GF-latin-plus,FALSE,FALSE
circumflexcmb_acutecmb,,,,GF-latin-plus,FALSE,FALSE
circumflexcmb_gravecmb,,,,GF-latin-plus,FALSE,FALSE
circumflexcmb_hookabovecmb,,,,GF-latin-plus,FALSE,FALSE
circumflexcmb_tildecmb,,,,GF-latin-plus,FALSE,FALSE
brevecmb_acutecmb,,,,GF-latin-plus,FALSE,FALSE
brevecmb_gravecmb,,,,GF-latin-plus,FALSE,FALSE
brevecmb_hookabovecmb,,,,GF-latin-plus,FALSE,FALSE
brevecmb_tildecmb,,,,GF-latin-plus,FALSE,FALSE
caroncmb.alt,,,,GF-latin-plus,FALSE,FALSE
periodcentered.loclCAT,,,,GF-latin-plus,FALSE,FALSE
Aacute,193,Á,LATIN CAPITAL LETTER A WITH ACUTE,GF-latin-core,FALSE,FALSE
Abreve,258,Ă,LATIN CAPITAL LETTER A WITH BREVE,GF-latin-plus,FALSE,FALSE
Abreveacute,7854,Ắ,LATIN CAPITAL LETTER A WITH BREVE AND ACUTE,GF-latin-plus,FALSE,FALSE
Abrevedotbelow,7862,Ặ,LATIN CAPITAL LETTER A WITH BREVE AND DOT BELOW,GF-latin-plus,FALSE,FALSE
Abrevegrave,7856,Ằ,LATIN CAPITAL LETTER A WITH BREVE AND GRAVE,GF-latin-plus,FALSE,FALSE
Abrevehoi,7858,Ẳ,LATIN CAPITAL LETTER A WITH BREVE AND HOOK ABOVE,GF-latin-plus,FALSE,FALSE
Abrevetilde,7860,Ẵ,LATIN CAPITAL LETTER A WITH BREVE AND TILDE,GF-latin-plus,FALSE,FALSE
Acircumflex,194,Â,LATIN CAPITAL LETTER A WITH CIRCUMFLEX,GF-latin-core,FALSE,FALSE
Acircumflexacute,7844,Ấ,LATIN CAPITAL LETTER A WITH CIRCUMFLEX AND ACUTE,GF-latin-plus,FALSE,FALSE
Acircumflexdotbelow,7852,Ậ,LATIN CAPITAL LETTER A WITH CIRCUMFLEX AND DOT BELOW,GF-latin-plus,FALSE,FALSE
Acircumflexgrave,7846,Ầ,LATIN CAPITAL LETTER A WITH CIRCUMFLEX AND GRAVE,GF-latin-plus,FALSE,FALSE
Acircumflexhoi,7848,Ẩ,LATIN CAPITAL LETTER A WITH CIRCUMFLEX AND HOOK ABOVE,GF-latin-plus,FALSE,FALSE
Acircumflextilde,7850,Ẫ,LATIN CAPITAL LETTER A WITH CIRCUMFLEX AND TILDE,GF-latin-plus,FALSE,FALSE
Adieresis,196,Ä,LATIN CAPITAL LETTER A WITH DIAERESIS,GF-latin-core,FALSE,FALSE
Adotbelow,7840,Ạ,LATIN CAPITAL LETTER A WITH DOT BELOW,GF-latin-plus,FALSE,FALSE
Agravedbl,512,Ȁ,LATIN CAPITAL LETTER A WITH DOUBLE GRAVE,GF-latin-plus,FALSE,FALSE
Agrave,192,À,LATIN CAPITAL LETTER A WITH GRAVE,GF-latin-core,FALSE,FALSE
