Glyph Name, Unicode, Character, Description, Glyph Set, Optional
Eacute,201,É,LATIN CAPITAL LETTER E WITH ACUTE,GF-latin-core,0
Ebreve,276,Ĕ,LATIN CAPITAL LETTER E WITH BREVE,GF-latin-plus,0
Ecaron,282,Ě,LATIN CAPITAL LETTER E WITH CARON,GF-latin-plus,0
Ecedillabreve,7708,Ḝ,LATIN CAPITAL LETTER E WITH CEDILLA AND BREVE,GF-latin-pro,0
Ecircumflex,202,Ê,LATIN CAPITAL LETTER E WITH CIRCUMFLEX,GF-latin-core,0
Ecircumflexacute,7870,Ế,LATIN CAPITAL LETTER E WITH CIRCUMFLEX AND ACUTE,GF-latin-plus,0
Ecircumflexdotbelow,7878,Ệ,LATIN CAPITAL LETTER E WITH CIRCUMFLEX AND DOT BELOW,GF-latin-plus,0
Ecircumflexgrave,7872,Ề,LATIN CAPITAL LETTER E WITH CIRCUMFLEX AND GRAVE,GF-latin-plus,0
Ecircumflexhoi,7874,Ể,LATIN CAPITAL LETTER E WITH CIRCUMFLEX AND HOOK ABOVE,GF-latin-plus,0
Ecircumflextilde,7876,Ễ,LATIN CAPITAL LETTER E WITH CIRCUMFLEX AND TILDE,GF-latin-plus,0
Edieresis,203,Ë,LATIN CAPITAL LETTER E WITH DIAERESIS,GF-latin-core,0
Edotaccent,278,Ė,LATIN CAPITAL LETTER E WITH DOT ABOVE,GF-latin-plus,0
Edotbelow,7864,Ẹ,LATIN CAPITAL LETTER E WITH DOT BELOW,GF-latin-plus,0
Egravedbl,516,Ȅ,LATIN CAPITAL LETTER E WITH DOUBLE GRAVE,GF-latin-plus,0
Egrave,200,È,LATIN CAPITAL LETTER E WITH GRAVE,GF-latin-core,0
Ehoi,7866,Ẻ,LATIN CAPITAL LETTER E WITH HOOK ABOVE,GF-latin-plus,0
Einvertedbreve,518,Ȇ,LATIN CAPITAL LETTER E WITH INVERTED BREVE,GF-latin-plus,0
Emacron,274,Ē,LATIN CAPITAL LETTER E WITH MACRON,GF-latin-plus,0
Emacronacute,7702,Ḗ,LATIN CAPITAL LETTER E WITH MACRON AND ACUTE,GF-latin-pro,0
Emacrongrave,7700,Ḕ,LATIN CAPITAL LETTER E WITH MACRON AND GRAVE,GF-latin-pro,0
Eogonek,280,Ę,LATIN CAPITAL LETTER E WITH OGONEK,GF-latin-plus,0
Etilde,7868,Ẽ,LATIN CAPITAL LETTER E WITH TILDE,GF-latin-plus,0
Gbreve,286,Ğ,LATIN CAPITAL LETTER G WITH BREVE,GF-latin-plus,0
Gcaron,486,Ǧ,LATIN CAPITAL LETTER G WITH CARON,GF-latin-plus,0
Gcedilla,290,Ģ,LATIN CAPITAL LETTER G WITH CEDILLA,GF-latin-plus,0
Gcircumflex,284,Ĝ,LATIN CAPITAL LETTER G WITH CIRCUMFLEX,GF-latin-plus,0
Gdotaccent,288,Ġ,LATIN CAPITAL LETTER G WITH DOT ABOVE,GF-latin-plus,0
Gmacron,7712,Ḡ,LATIN CAPITAL LETTER G WITH MACRON,GF-latin-pro,0
Hbrevebelow,7722,Ḫ,LATIN CAPITAL LETTER H WITH BREVE BELOW,GF-latin-pro,0
Hcircumflex,292,Ĥ,LATIN CAPITAL LETTER H WITH CIRCUMFLEX,GF-latin-plus,0
Hdotbelow,7716,Ḥ,LATIN CAPITAL LETTER H WITH DOT BELOW,GF-latin-pro,0
Hbar,294,Ħ,LATIN CAPITAL LETTER H WITH STROKE,GF-latin-plus,0
Iacute,205,Í,LATIN CAPITAL LETTER I WITH ACUTE,GF-latin-core,0
Ibreve,300,Ĭ,LATIN CAPITAL LETTER I WITH BREVE,GF-latin-plus,0
Icircumflex,206,Î,LATIN CAPITAL LETTER I WITH CIRCUMFLEX,GF-latin-core,0
Idieresis,207,Ï,LATIN CAPITAL LETTER I WITH DIAERESIS,GF-latin-core,0
Idieresisacute,7726,Ḯ,LATIN CAPITAL LETTER I WITH DIAERESIS AND ACUTE,GF-latin-pro,0
Idotaccent,304,İ,LATIN CAPITAL LETTER I WITH DOT ABOVE,GF-latin-plus,0
Idotbelow,7882,Ị,LATIN CAPITAL LETTER I WITH DOT BELOW,GF-latin-plus,0
Igravedbl,520,Ȉ,LATIN CAPITAL LETTER I WITH DOUBLE GRAVE,GF-latin-plus,0
Igrave,204,Ì,LATIN CAPITAL LETTER I WITH GRAVE,GF-latin-core,0
Ihoi,7880,Ỉ,LATIN CAPITAL LETTER I WITH HOOK ABOVE,GF-latin-plus,0
Iinvertedbreve,522,Ȋ,LATIN CAPITAL LETTER I WITH INVERTED BREVE,GF-latin-plus,0
Imacron,298,Ī,LATIN CAPITAL LETTER I WITH MACRON,GF-latin-plus,0
Iogonek,302,Į,LATIN CAPITAL LETTER I WITH OGONEK,GF-latin-plus,0
Itilde,296,Ĩ,LATIN CAPITAL LETTER I WITH TILDE,GF-latin-plus,0
Jcircumflex,308,Ĵ,LATIN CAPITAL LETTER J WITH CIRCUMFLEX,GF-latin-plus,0
Kcedilla,310,Ķ,LATIN CAPITAL LETTER K WITH CEDILLA,GF-latin-plus,0
Lacute,313,Ĺ,LATIN CAPITAL LETTER L WITH ACUTE,GF-latin-plus,0
Lcaron,317,Ľ,LATIN CAPITAL LETTER L WITH CARON,GF-latin-plus,0
Lcedilla,315,Ļ,LATIN CAPITAL LETTER L WITH CEDILLA,GF-latin-plus,0
Ldotbelow,7734,Ḷ,LATIN CAPITAL LETTER L WITH DOT BELOW,GF-latin-pro,0
Llinebelow,7738,Ḻ,LATIN CAPITAL LETTER L WITH LINE BELOW,GF-latin-pro,0
Ldot,319,Ŀ,LATIN CAPITAL LETTER L WITH MIDDLE DOT,GF-latin-plus,0
Lslash,321,Ł,LATIN CAPITAL LETTER L WITH STROKE,GF-latin-plus,0
Mdotbelow,7746,Ṃ,LATIN CAPITAL LETTER M WITH DOT BELOW,GF-latin-pro,0
